namedLocation,siteID,plotID,date,editedDateStat,individualID,growthForm,phenophaseName,phenophaseStatus,phenophaseIntensityDefinition,phenophaseIntensity,remarksStat,decimalLatitude,decimalLongitude,elevation,transectMeter,directionFromTransect,ninetyDegreeDistance,sampleGeodeticDatum,addDate,editedDate,taxonID,scientificName,remarks,phenophaseIntensityMean
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-10,2015-07-22,NEON.PLA.D02.BLAN.06291,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,491,Left,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06290,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,491,Left,0.5,WGS84,2016-04-20,2016-05-09,RHDA,Rhamnus davurica Pall.,Nearly dead shaded out,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06286,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,506,Right,1,WGS84,2017-03-06,2017-04-07,LOMA6,Lonicera maackii (Rupr.) Herder,dropped in order to have 30 LOMA6 on the loop,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06295,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,484,Right,0.5,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06291,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,491,Left,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-07-22,2015-07-22,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,NA,39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06286,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,Brown discoloration on some leaves,39.059627,-78.073846,183,506,Right,1,WGS84,2017-03-06,2017-04-07,LOMA6,Lonicera maackii (Rupr.) Herder,dropped in order to have 30 LOMA6 on the loop,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,brown discoloration speckles on some leaves,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06290,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,Some leaves partially brown,39.059627,-78.073846,183,491,Left,0.5,WGS84,2016-04-20,2016-05-09,RHDA,Rhamnus davurica Pall.,Nearly dead shaded out,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,brown speckles on some leaves,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06291,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,Brown discoloration on some leaves,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06295,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,0.5,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-06,2015-08-06,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06286,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,"Leaf discoloration (brown speckles) possibly from insect damage, disease, or heat stress affecting less than 5% of leaves",39.059627,-78.073846,183,506,Right,1,WGS84,2017-03-06,2017-04-07,LOMA6,Lonicera maackii (Rupr.) Herder,dropped in order to have 30 LOMA6 on the loop,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06291,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06295,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,0.5,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,"leaf discoloration (brown speckles) possibly from insect damage, disease, or heat stress affecting roughly 10% of leaves",39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-19,2015-08-19,NEON.PLA.D02.BLAN.06290,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2016-04-20,2016-05-09,RHDA,Rhamnus davurica Pall.,Nearly dead shaded out,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,Only one branch is flowering,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06295,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,0.5,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06290,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2016-04-20,2016-05-09,RHDA,Rhamnus davurica Pall.,Nearly dead shaded out,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06291,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06286,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,506,Right,1,WGS84,2017-03-06,2017-04-07,LOMA6,Lonicera maackii (Rupr.) Herder,dropped in order to have 30 LOMA6 on the loop,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-20,2015-08-24,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06295,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,0.5,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,75-94%,,39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.845
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06291,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06290,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2016-04-20,2016-05-09,RHDA,Rhamnus davurica Pall.,Nearly dead shaded out,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06286,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,506,Right,1,WGS84,2017-03-06,2017-04-07,LOMA6,Lonicera maackii (Rupr.) Herder,dropped in order to have 30 LOMA6 on the loop,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-25,2015-10-20,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06287,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,504,Right,0.5,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06290,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,491,Left,0.5,WGS84,2016-04-20,2016-05-09,RHDA,Rhamnus davurica Pall.,Nearly dead shaded out,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06299,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06295,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,484,Right,0.5,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06297,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,469,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06289,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,497,Left,1,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06300,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,476,Left,2,WGS84,2017-02-24,2017-03-31,RHDA,Rhamnus davurica Pall.,,0.975
BLAN_061.phenology.phe,BLAN,BLAN_061,2015-08-28,2015-10-20,NEON.PLA.D02.BLAN.06288,Deciduous broadleaf,Leaves,yes,Percentage of the canopy that is full with leaves,>= 95%,,39.059627,-78.073846,183,498,Right,2,WGS84,2017-02-24,2017-03-31,LOMA6,Lonicera maackii (Rupr.) Herder,,0.975
