Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
1787	90042	366	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	198	cm	curved fork length	187.7	198	212.85	Fishbase (species)	198	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	126480	g	406230	279750	3.2118	126480	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	13	cm	n/a	0	n/a	13	total length	n/a	n/a	individual	5.9691	g	114.98	109.01	19.262	5.9691	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
1562	89117	354	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	142	cm	curved fork length	134.62	142	152.65	Fishbase (species)	142	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	47690	g	149850	102160	3.1421	47690	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	13	cm	n/a	0	n/a	13	total length	n/a	n/a	individual	5.9691	g	114.98	109.01	19.262	5.9691	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
15587	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	3.8953	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	3.8953	mass	n/a	n/a	individual	0.34933	g	3.093	2.7437	8.8543	0.34933	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
19929	n/a	8358	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	990	mm	total length	870.21	990	990	Fishbase (species)	99	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	6803.3	g	50779	43976	7.4639	6803.3	all	fish unidentified	fish	ectotherm vertebrate	370	mm	n/a	0	n/a	37	total length	n/a	n/a	individual	506.53	g	2650.8	2144.3	5.2333	506.53	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
18403	n/a	7137	Pomatomus saltatrix	Bluefish	ectotherm vertebrate	Adult	piscivorous	116	mm	total length	100.92	107.07	116	Fishbase (species)	11.6	individual	M=0.0136TL^2.899	Haimovici and Velasco (2000)	1	16.573	g	81.687	65.114	4.9289	16.573	fish	silversides, anchovies and 'other fish prey'	silversides, anchovies and 'other fish prey'	ectotherm vertebrate	27	mm	n/a	0	n/a	2.7	total length	n/a	n/a	individual	0.19683	g	1.0301	0.83325	5.2333	0.19683	M=0.01L^3	Standard fish shape	4	Great South Bay, Long Island, New York	40º10'N	73º10'W	52	13.9	6.6	1142	133	Juanes & Conover (1995)	Coastal bay	Contiguous predators of same length assumed same individual
3630	n/a	796	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	114	cm	standard length	114	118.01	130.76	Fishbase (species)	130.76	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	28032	g	117e3	88968	4.1738	28032	all	unidentified squid	squid	ectotherm invertebrate	5.1	cm	n/a	0	n/a	5.1	Mantle length	n/a	n/a	individual	5.265	g	6.9421	1.677	1.3185	5.265	M=0.0004(ML*10)^2.4124	Hunsicker & Essington (2006)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
25867	n/a	13758	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	780	mm	total length	0	691.86	780	Fishbase (species)	78	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	1911.4	g	24835	22924	12.993	1911.4	all	fish unidentified	fish	ectotherm vertebrate	162	mm	n/a	0	n/a	16.2	total length	n/a	n/a	individual	42.515	g	222.5	179.98	5.2333	42.515	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
26830	n/a	14614	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	piscivorous	610	mm	total length	518.27	0	610	Fishbase (species)	61	individual	M=0.0023TL^3.1	van der Elst (1981)	1	787.5	g	11879	11091	15.084	787.5	all	fish unidentified	fish	ectotherm vertebrate	40	mm	n/a	0	n/a	4	total length	n/a	n/a	individual	0.64	g	3.3493	2.7093	5.2333	0.64	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
6924	n/a	1186	Notolepis rissoi	Paralepididae fish larva	ectotherm vertebrate	larva	planktivorous	8800	µm	standard length	8800	8951.3	9372	Fishbase (species)	0.9372	individual	M=0.0019SL^2.946	Froese and Pauly (2007)	3	0.0013038	g	0.04308	0.041776	33.043	0.0013038	all	Centropages typicus - copepodite	Centropages typicus - copepodite	microzooplankton	648	µm	TL=Width-37.5/0.3125 (Fig 3b in Ref)	4	Ostergaard et al (2005)	0.0648	max width	2.4000E+02	µm	individual	2.1263e-6	g	1.424e-5	1.2113e-5	6.6968	2.1263e-6	M=(0.00000417(L*10000)^2.03)/1000000	Hygum et al. (2000)	4	Catalan Sea	40º55'N	02º40'E	1783	18.9	4.9	524	29	Sabates & Saiz (2000)	shelfbreak/open ocean	Contiguous predators of same length assumed same individual
21343	n/a	9695	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	predacious	1e3	mm	total length	879	1e3	1e3	Fishbase (species)	100	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	7017.6	g	52333	45316	7.4574	7017.6	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	145	mm	n/a	0	n/a	14.5	total length	n/a	n/a	individual	75.595	g	159.54	83.95	2.1105	75.595	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
11707	n/a	5116	Paralichthys dentatus	Summer flounder	ectotherm vertebrate	adult	piscivorous	210	mm	total length	182.61	0	210	Fishbase (species)	21	individual	M=0.0054SL^3.117	Henderson (1979)	1	46.191	g	484.66	438.47	10.493	46.191	all	fish unidentified	fish	ectotherm vertebrate	65	mm	n/a	0	n/a	6.5	total length	n/a	n/a	individual	2.7463	g	14.372	11.626	5.2333	2.7463	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
7351	n/a	1320	Myctophum asperum	Myctophidae fish larva	ectotherm vertebrate	larva	predacious	8.5	mm	standard length	8.5	9.6475	11.084	Fishbase (species)	1.1084	individual	M=0.0206SL^2.6286	Froese and Pauly (2007)	2	0.013438	g	0.071264	0.057826	5.3031	0.013438	all	Unidentified crustacean	Unidentified crustacean	microzooplankton	480	µm	n/a	0	n/a	0.048	length & max width	3.8000E+02	µm	individual	1.0893e-6	g	5.7876e-6	4.6983e-6	5.313	1.0893e-6	M=(0.015(L*10)^3.573)/1000	Benke et al. (1999)	4	Western North Pacific	37º00'N	143º00'E	3322	17.9	4.9	601	106	Sassa et al (2004)	transition region	Contiguous predators of same length assumed same individual
8824	n/a	2534	Scophthalmus aquosus	Windowpane	ectotherm vertebrate	adult	piscivorous	310	mm	total length	0	0	310	n/a	31	individual	M=0.0132TL^3.0315	Froese and Pauly (2007)	2	438.16	g	1559.1	1120.9	3.5582	438.16	all	fish unidentified	fish	ectotherm vertebrate	52	mm	n/a	0	n/a	5.2	total length	n/a	n/a	individual	1.4061	g	7.3585	5.9524	5.2333	1.4061	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
19996	n/a	8424	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	450	mm	total length	395.55	450	450	Fishbase (species)	45	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	596.57	g	4768.9	4172.3	7.9939	596.57	all	fish unidentified	fish	ectotherm vertebrate	100	mm	n/a	0	n/a	10	total length	n/a	n/a	individual	10	g	52.333	42.333	5.2333	10	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
31677	6304	16682	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	predacious	20.83	mm	standard length	20.83	0	0	n/a	2.083	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	0.1437	g	0.47298	0.32928	3.2914	0.1437	all	Oncaea sp.	copepod	ectotherm invertebrate	0.57	mm	n/a	0	n/a	0.057	cephalothorax length	n/a	n/a	individual	2.4644e-6	g	9.6918e-6	7.2274e-6	3.9327	2.4644e-6	M=(2.51x10-8*(L*10000)^2.9)/1000000	Satapoomin (1999)	2	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
732	88020	269	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	168	cm	curved fork length	159.26	168	180.6	Fishbase (species)	168	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	78103	g	248150	170040	3.1771	78103	all	Brevoortia sp.	menhaden	ectotherm vertebrate	32	cm	n/a	0	n/a	32	total length	n/a	n/a	individual	583.95	g	1714.9	1130.9	2.9366	583.95	M=0.0102TL^3.161	Froese and Pauly (2007)	2	Jeffreys Ledge, Gulf of Maine, New England	42º80'N	70º10'W	108	10.6	5.6	1076	110	Chase, B.C. (2002)	Shelf	None
6876	n/a	1161	Hygophum benoiti	Myctophidae fish larva	ectotherm vertebrate	larva	planktivorous	9699	µm	standard length	9699	0	0	n/a	0.9699	individual	M=0.0105*SL^2.8904	Froese and Pauly (2007)	3	0.0096122	g	0.047748	0.038136	4.9675	0.0096122	all	Copepod copepodite	Copepod copepodite	microzooplankton	609.6	µm	TL=Width-37.5/0.3125 (Fig 3b in Ref)	4	Ostergaard et al (2005)	0.06096	max width	2.2800E+02	µm	individual	1.8784e-6	g	1.1855000000000001e-05	9.977e-6	6.3115	1.8784e-6	M=(0.00000417(L*10000)^2.03)/1000000	Hygum et al. (2000)	4	Catalan Sea	40º55'N	02º40'E	1783	18.9	4.9	524	29	Sabates & Saiz (2000)	shelfbreak/open ocean	Contiguous predators of same length assumed same individual
816	89039	198	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	178	cm	curved fork length	168.74	178	191.35	Fishbase (species)	178	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	92543	g	295150	202600	3.1893	92543	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	19	cm	n/a	0	n/a	19	total length	n/a	n/a	individual	19.974	g	358.95	338.98	17.971	19.974	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Stellwagen Bank, Gulf of Maine, New England	42º40'N	70º15'W	63	10.7	5.4	1002	98	Chase, B.C. (2002)	Shelf	None
20653	n/a	9076	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	630	mm	total length	553.77	630	630	Fishbase (species)	63	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	1685.6	g	13086	11400	7.7633	1685.6	all	fish unidentified	fish	ectotherm vertebrate	142	mm	n/a	0	n/a	14.2	total length	n/a	n/a	individual	28.633	g	149.85	121.21	5.2333	28.633	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
9856	n/a	3462	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	310	mm	total length	278.38	0	310	Fishbase (species)	31	individual	M=0.0039SL^3.16	Schaefer (1960)	1	143.26	g	1559.1	1415.8	10.883	143.26	all	fish unidentified	fish	ectotherm vertebrate	60	mm	n/a	0	n/a	6	total length	n/a	n/a	individual	2.16	g	11.304	9.144	5.2333	2.16	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
30608	5338	16269	Pleuragramma antarcticum	Antarctic Silverfish	ectotherm vertebrate	postlarva/juvenile	predacious	40.2	mm	standard length	40.2	42.813	44.702	Fishbase (species)	4.4702	individual	M=0.0045SL^3.25	Kunzmann (1986)	1	0.41395	g	4.6749	4.2609	11.293	0.41395	all	Oithona sp.	copepod	ectotherm invertebrate	0.53	mm	n/a	0	n/a	0.053	cephalothorax length	n/a	n/a	individual	7.2575e-7	g	7.7912e-6	7.0655e-6	10.735	7.2575e-7	M=(9.47x10-7*(L*10000)^2.16)/1000000	Kiorboe & Sabatini (1994)	2	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1987)	Seasonal Pack Ice Zone	None
1695	89240	360	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	173	cm	curved fork length	164	173	185.98	Fishbase (species)	173	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	85121	g	270970	185850	3.1833	85121	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	14	cm	n/a	0	n/a	14	total length	n/a	n/a	individual	7.5569	g	143.6	136.05	19.003	7.5569	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
13289	n/a	6516	Pomatomus saltatrix	Bluefish	ectotherm vertebrate	adult	piscivorous	380	mm	total length	330.6	350.74	380	Fishbase (species)	38	individual	M=0.0136TL^2.899	Haimovici and Velasco (2000)	1	516.81	g	2871.6	2354.8	5.5565	516.81	all	fish unidentified	fish	ectotherm vertebrate	60	mm	n/a	0	n/a	6	total length	n/a	n/a	individual	2.16	g	11.304	9.144	5.2333	2.16	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
155	FTTH063	107	Carcharhinus isodon	Finetooth shark	ectotherm vertebrate	juvenile	piscivorous	910	mm	fork length	874.81	910	1108.4	Fishbase (species)	110.84	individual	M=0.0058*SL^3.1151	Froese and Pauly (2007)	2	6496.5	g	71260	64763	10.969	6496.5	all	fish unidentified	fish	ectotherm vertebrate	175	mm	n/a	0	n/a	17.5	length	n/a	n/a	individual	53.594	g	280.47	226.88	5.2333	53.594	M=0.01L^3	Standard fish shape	4	Apalachicola Bay, Florida	29º40'N	85º10'W	30	24.1	4.2	866	214	Bethea et al (2004)	Coastal Bay	None
29119	n/a	15833	Merlangius merlangus	Whiting	ectotherm vertebrate	adult	piscivorous	29	cm	total length	26.245	0	29	Fishbase (species)	29	individual	M=0.0062SL^3.1029	Dorel (1986)	1	156.87	g	1276.4	1119.5	8.1362	156.87	fish	Trisopterus minutus	Poor cod	ectotherm vertebrate	11	cm	n/a	0	n/a	11	total length	n/a	n/a	individual	13.049	g	69.656	56.607	5.3382	13.049	M=0.0092*L^3.0265	Coull et al. (1989)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
29525	n/a	15913	Merluccius merluccius	European hake	ectotherm vertebrate	adult	piscivorous	82	cm	total length	72.98	80.688	82	Fishbase (species)	82	individual	M=0.0097SL^2.9130	Bedford et al. (1986)	1	2595.9	g	28855	26259	11.116	2595.9	fish	Scomber scombrus	Mackerel	ectotherm vertebrate	35	cm	n/a	0	n/a	35	total length	n/a	n/a	individual	343.89	g	2243.8	1899.9	6.5247	343.89	M=0.0034*L^3.2414	Dorel (1986)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
28032	n/a	15598	Merlangius merlangus	Whiting	ectotherm vertebrate	adult	piscivorous	34	cm	total length	30.77	0	34	Fishbase (species)	34	individual	M=0.0062SL^3.1029	Dorel (1986)	1	256.98	g	2056.9	1799.9	8.0041	256.98	fish	Engraulis encrassicolus	anchovy	ectotherm vertebrate	12	cm	n/a	0	n/a	12	total length	n/a	n/a	individual	10.776	g	90.432	79.656	8.3916	10.776	M=0.00654L^2.98087	Dorel (1986)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
24383	n/a	12383	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	920	mm	total length	0	816.04	920	Fishbase (species)	92	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	3334.4	g	40751	37417	12.221	3334.4	all	fish unidentified	fish	ectotherm vertebrate	250	mm	n/a	0	n/a	25	total length	n/a	n/a	individual	156.25	g	817.71	661.46	5.2333	156.25	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
16867	Sami 31	7002	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	65	cm	standard length	65	68.493	73.255	Fishbase (species)	73.255	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5559.7	g	20573	15013	3.7003	5559.7	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.9999	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.9999	mass	n/a	n/a	individual	0.93912	g	6.5415	5.6023	6.9655	0.93912	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
26806	n/a	14590	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	piscivorous	1060	mm	total length	900.59	0	1060	Fishbase (species)	106	individual	M=0.0023TL^3.1	van der Elst (1981)	1	4366.9	g	62330	57963	14.273	4366.9	all	fish unidentified	fish	ectotherm vertebrate	43	mm	n/a	0	n/a	4.3	total length	n/a	n/a	individual	0.79507	g	4.1609	3.3658	5.2333	0.79507	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
6687	n/a	1042	Benthosema glaciale	Myctophidae fish larva	ectotherm vertebrate	larva	planktivorous	6390	µm	standard length	6390	6979.8	8192.3	Fishbase (genus)	0.81923	individual	M=0.0105*SL^2.8904	Froese and Pauly (2007)	3	0.0028775	g	0.028774	0.025896	9.9997	0.0028775	all	Copepod nauplius	Copepod nauplius	microzooplankton	112.8	µm	TL=Width-37.5/0.3125 (Fig 3b in Ref)	4	Ostergaard et al (2005)	0.01128	max width	7.2750E+01	µm	individual	6.114e-8	g	7.5111e-8	1.3972e-8	1.2285	6.114e-8	M=(0.00000417(L*10000)^2.03)/1000000	Hygum et al. (2000)	4	Catalan Sea	40º55'N	02º40'E	1783	18.9	4.9	524	29	Sabates & Saiz (2000)	shelfbreak/open ocean	Contiguous predators of same length assumed same individual
6676	n/a	1037	Benthosema glaciale	Myctophidae fish larva	ectotherm vertebrate	larva	planktivorous	4810	µm	standard length	4810	5254	6166.7	Fishbase (genus)	0.61667	individual	M=0.0105*SL^2.8904	Froese and Pauly (2007)	3	0.0012661	g	0.012272	0.011006	9.6932	0.0012661	all	Copepod nauplius	Copepod nauplius	microzooplankton	159.36	µm	TL=Width-37.5/0.3125 (Fig 3b in Ref)	4	Ostergaard et al (2005)	0.015936	max width	8.7300E+01	µm	individual	1.233e-7	g	2.118e-7	8.8494e-8	1.7177	1.233e-7	M=(0.00000417(L*10000)^2.03)/1000000	Hygum et al. (2000)	4	Catalan Sea	40º55'N	02º40'E	1783	18.9	4.9	524	29	Sabates & Saiz (2000)	shelfbreak/open ocean	Contiguous predators of same length assumed same individual
16596	Sami 27	7000	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	predacious	72	cm	standard length	72	75.869	81.144	Fishbase (species)	81.144	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	7448.9	g	27961	20512	3.7537	7448.9	all	Gonatus steenstrupi	Squid	ectotherm invertebrate	146.82	mm	L = 10 ^((logM-log(0.0004))/2.4124)	4	Personal communication (Mary Hunsicker)	14.682	mass	n/a	n/a	individual	67.488	g	165.63	98.147	2.4543	67.488	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
14093	Ge17	6971	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	64	cm	standard length	64	67.439	72.128	Fishbase (species)	72.128	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5318.6	g	19638	14319	3.6923	5318.6	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.3614	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.3614	mass	n/a	n/a	individual	0.54661	g	4.3417	3.7951	7.9429	0.54661	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
4509	n/a	845	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	95	cm	standard length	95	98.344	108.97	Fishbase (species)	108.97	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	16299	g	67708	51409	4.1541	16299	all	crustacean	crustacean	ectotherm invertebrate	0.9	cm	n/a	0	n/a	0.9	Eye to end of abdomen	n/a	n/a	individual	0.038512	g	0.038151	-3.6133e-4	0.99062	0.038512	M=(0.015*(L*10)^3.573)/1000	Benke et al (1999)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
15930	Ge48	6993	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	62	cm	standard length	62	65.332	69.874	Fishbase (species)	69.874	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	4856.9	g	17854	12997	3.6759	4856.9	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.0458	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.0458	mass	n/a	n/a	individual	0.40595	g	3.4658	3.0598	8.5374	0.40595	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
24712	n/a	12694	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	890	mm	total length	0	789.43	890	Fishbase (species)	89	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2981.8	g	36893	33912	12.373	2981.8	all	fish unidentified	fish	ectotherm vertebrate	39	mm	n/a	0	n/a	3.9	total length	n/a	n/a	individual	0.59319	g	3.1044	2.5112	5.2333	0.59319	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
7147	n/a	1268	Diaphus garmani	Myctophidae fish larva	ectotherm vertebrate	larva	planktivorous	7.5	mm	standard length	7.5	8.1344	9.2325	Fishbase (species)	0.92325	individual	M=0.0059TL^3.060	Madureira and Rossi-Wongtschowski (2005)	1	0.0046209	g	0.041185	0.036564	8.9127	0.0046209	all	Copepod nauplius	Copepod nauplius	microzooplankton	384	µm	n/a	0	n/a	0.0384	length & max width	2.1000E+02	µm	individual	7.3507e-7	g	2.9633e-6	2.2282e-6	4.0313	7.3507e-7	M=(4.17x10-6*(L*10000)^2.03)/1000000	Hygum et al (2000)	4	Western North Pacific	37º00'N	143º00'E	3322	17.9	4.9	601	106	Sassa et al (2004)	transition region	Contiguous predators of same length assumed same individual
33940	n/a	NA	Dicentrarchus labrax	European sea bass	ectotherm vertebrate	juvenile	predacious	28	mm	total length	0	0	28	n/a	2.8	mid-class	M=0.0123TL^2.9554	Dorel (1986)	1	0.25789	g	1.1488	0.89093	4.4547	0.25789	Mysids	Schistomysis spiritus	mysid	ectotherm invertebrate	2.2225	mm	n/a	0	n/a	0.22225	total length	n/a	n/a	individual	4.472e-5	g	5.7452e-4	5.298e-4	12.847	4.472e-5	M=0.00000339*(L*10)^3.23	Morris et al (1988)	4	Oxwich Bay, Wales	51º52'N	04º10'W	8	12.2	3.9	1399	NA	Lancaster (1991)	estuary/coastal	Predator length mid-class
34719	n/a	NA	Zeus faber	John dory	ectotherm vertebrate	adult	predacious	88.3	mm	total length	72.406	0	88.3	Fishbase (species)	8.83	mid-class	M=0.0230SL^2.9114	Dorel (1986)	1	7.3261	g	36.03	28.704	4.918	7.3261	all	Mysidacea	Mysidacea	ectotherm invertebrate	46.072	mm	L = 10^ ((logM-log(0.00000339))/3.23)	4	Morris et al. (1988)	4.6072	mass	n/a	n/a	individual	0.8	g	5.1177	4.3177	6.3972	0.8	Weighed	n/a	0	Eastern Mediterranean	38º00'N	23º00'E	75	19.3	4.6	435	17	Stergiou & Fourtouni (1991)	Euboikos and Pagassitikos Gulfs	Predator length mid-class
29626	n/a	15938	Pollachius virens	Saithe	ectotherm vertebrate	adult	piscivorous	66	cm	total length	54.45	58.014	66	Fishbase (species)	66	individual	M=0.0103SL^2.9630	Bedford et al. (1986)	1	1434.2	g	15046	13611	10.491	1434.2	fish	Sardina pilchardus	Pilchard	ectotherm vertebrate	18	cm	n/a	0	n/a	18	total length	n/a	n/a	individual	42.936	g	305.21	262.27	7.1084	42.936	M=0.0059*L^3.0766	Dorel (1986)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
