chrom	start	end	K2P
LG_2	62245376	62247650	0.023748242074642115
LG_2	62248930	62253374	0.03718316165745705
LG_2	62257590	62259632	0.007177359236857981
LG_2	62259846	62260395	0
LG_2	62281726	62286271	0.020444932976409935
LG_2	62293189	62300410	0.018604414526797553
LG_2	62338725	62339378	0.03216299695714583
LG_2	62344816	62349307	0.01351433619395963
LG_N	28500531	28505061	0.00513957764433678
LG_2	62362215	62369892	0.018294753796298642
LG_2	62376131	62383832	0.009075839623183672
LG_2	62388429	62392663	0.017031121718089567
LG_2	62423953	62428591	0.04860999430562125
LG_2	62433008	62439744	0.01631943893386399
LG_2	62465621	62471746	0.007398333728185413
LG_2	62480920	62488692	0.016632017708006822
LG_2	62489504	62500127	0.006090078795808555
LG_2	62529212	62537003	0.022799517965275896
LG_2	62539415	62547062	0.07191682394778015
LG_N	28514176	28515286	0.035642604829782196
LG_2	62566779	62571557	0.020121652132020988
LG_2	62583536	62584345	0.07721523000405461
LG_2	62673551	62681203	0.011040243406426044
LG_2	62706219	62707593	0.009209699335102604
LG_2	62719779	62727185	0.03690965286046464
LG_2	62740394	62757046	0.0039513586008609195
LG_2	62768131	62785471	0.0018808799609458422
LG_2	62822353	62833381	0.005883449955511588
LG_2	62848337	62858132	0.04921517407687933
LG_2	62878797	62885996	0.08737707998130069
LG_N	28517934	28518501	0.05243855671284645
LG_2	62925082	62929787	0.022002343341346122
LG_2	62935096	62937325	0.084958611873964
LG_2	62940987	62951892	0.028825102513965983
LG_2	62954497	62955016	0.06748875133468853
LG_2	62960115	62979625	0.09609418615358205
LG_2	62996511	63004167	0.0514160555103249
LG_2	63031763	63042413	0.060243733551482506
LG_2	63055767	63070534	0.010630150545862823
LG_2	63095278	63102749	0.0011428576404279756
LG_2	63122212	63142274	0.04235268637420299
LG_N	28527934	28535591	0.03319963901675054
LG_2	63152905	63160102	0.005982836554384597
LG_2	63170471	63181728	0.009047246262020404
LG_2	63186122	63192708	0.0011350742672695928
LG_2	63214136	63233004	0.06135410198390159
LG_2	63236835	63237331	0.07717535991896408
LG_2	63237492	63237916	0.03901056344603915
LG_2	63240820	63245845	0.006683251901959526
LG_2	63262490	63275759	0.0758284462912939
LG_2	63308710	63309345	0.02194731578887421
LG_2	63322464	63329790	0.037397507835927504
LG_N	28550534	28551579	0.030174650644313728
LG_2	63356574	63364259	0.009100212758569733
LG_2	63374487	63379949	0.053922129714312046
LG_2	63399608	63410669	0.0011520742424250942
LG_2	63414067	63424779	0.035920061668355596
LG_2	63440801	63448083	0.004990802950925599
LG_2	63459790	63467507	0.002198710099952406
LG_2	63475482	63485151	0.009202569443860786
LG_2	63503656	63508430	0.04178285953691741
LG_2	63532981	63538901	0.09905680409889381
LG_2	63549066	63556394	0.03031987276151555
LG_N	28571441	28579182	0.00600906428672698
LG_N	2757527	2759224	0.019662444139077095
LG_2	63561133	63568325	0.07602914205066015
LG_2	63575968	63583991	0.06124627086549054
LG_2	63605498	63610171	0.07443517407045394
LG_2	63622223	63623171	0.06506558505352598
LG_2	63629437	63630243	0.09976857684470557
LG_2	63644435	63652060	0.0010266944059210423
LG_2	63663841	63678794	0.07785802957519317
LG_2	63687921	63704582	0.09412927180513615
LG_2	63780030	63785070	0.008411967172429964
LG_2	63832888	63840430	0.006640909701826017
LG_N	28617336	28624514	0.008065442969828838
LG_2	63898473	63913243	0.009243630993833707
LG_2	63925176	63926194	0.07418517442544909
LG_2	63955289	63962616	0.0015594552187064346
LG_2	63972699	63974710	0.10393657361730761
LG_2	63990582	63994961	0.006343409624535996
LG_2	64004194	64019201	0.034393503438150966
LG_2	64033639	64037446	0.030724849984440635
LG_2	64049299	64053746	0.0526543550906311
LG_2	64060903	64065566	0.0239822870711359
LG_2	64078549	64088984	0.010160711732774
LG_N	28702175	28708574	0.06979212662738891
LG_2	64103132	64110069	0.0204499036685493
LG_2	64113641	64115171	0.041540862454890325
LG_2	64137338	64148368	0.0023175012520742595
LG_2	64152458	64156925	0
LG_2	64183751	64198369	0.02355028176090101
LG_2	64223016	64239482	0.009070469448995257
LG_2	64240330	64251067	0.02074733888347177
LG_2	64263518	64270856	0.04993140936577776
LG_2	64273912	64282587	0.0397520830883815
LG_2	64308990	64309493	0.09913650843621881
LG_N	28721244	28727647	0
LG_2	64335911	64343575	0.009085001392221506
LG_2	64354910	64359486	0.041181587799767945
LG_2	64371623	64385394	0.004425201699418746
LG_2	64400630	64408321	0.03616589122809448
LG_2	64409274	64413748	0.008233779310206425
LG_2	64414138	64421355	0.06808764411261067
LG_2	64468656	64469149	0.012608700494474424
LG_2	64478256	64499187	0.027071879197158828
LG_2	64514272	64522057	0.02790709614095143
LG_2	64542271	64544366	0.033389770891553844
LG_N	28770339	28775226	0.004890014526819803
LG_2	64552643	64560437	0.032037529530925285
LG_2	64584053	64588649	0.013332892246420761
LG_2	64604263	64608777	0.03323228512594338
LG_2	64628429	64636430	0.03592708174983343
LG_2	64661319	64668989	0.021459235390433862
LG_2	64688892	64694100	0.0027753723065710697
LG_2	64695531	64702709	0.014885416500354407
LG_2	64718745	64722651	0.04139796543671067
LG_2	64729187	64737842	0.03151945138656656
LG_2	64743659	64744360	0.00870996752556485
LG_N	28791928	28799318	0.03419476483179378
LG_2	64752242	64756350	0.07861371833218778
LG_2	64787556	64804220	0.025413135061373087
LG_2	64816061	64817320	0.03951688852372066
LG_2	64824678	64831368	0
LG_2	64834280	64839385	0.0029873128444438475
LG_2	64863024	64870171	0.002230484915344865
LG_2	64881031	64888964	0.01991312413888147
LG_2	64896822	64903323	0.02713634062054234
LG_2	64908944	64916119	0.021895090914130833
LG_2	64916559	64924880	0.02060532329659544
LG_N	28800256	28801757	0.12198578644627882
LG_2	64940831	64949910	0.05487231198391567
LG_2	64968072	64975424	0.03429210234484014
LG_2	64978381	64987066	0.0019314161865211768
LG_2	65004252	65011914	0.008345101268736494
LG_2	65023032	65043540	0.017108489053119257
LG_2	65085720	65090570	0.10963349131748393
LG_2	65109597	65111347	0.017960971586890855
LG_2	65151494	65157830	0.0032608811231936755
LG_2	65174792	65175214	0.10101686621587673
LG_2	65188859	65191612	0.008087815786033629
LG_N	28823555	28828055	0.010468090723122348
LG_2	65232155	65239822	0.004032279918365204
LG_2	65240863	65242410	0.13887808202718896
LG_2	65251011	65257409	0.01315304981323919
LG_2	65263539	65272943	0.004649828517617228
LG_2	65304444	65324625	0.006243532414523763
LG_2	65327300	65338570	0.055181739743482484
LG_2	65344627	65352581	0.014869402791894939
LG_2	65355848	65361324	0.050797464568147314
LG_2	65369471	65376530	0.0408045714160644
LG_2	65393589	65400576	0
LG_N	28846549	28848171	0.08523671333476514
LG_2	65428898	65434042	0
LG_2	65457007	65469746	0.0081315517499906
LG_2	65470153	65478888	0.05420045237731688
LG_2	65514301	65523053	0.05059386266302185
LG_2	65540414	65547731	0.006788344399841266
LG_2	65559315	65566604	0
LG_2	65577272	65583942	0
LG_2	65597550	65604882	0.03385737678145863
LG_2	65628758	65639233	0.0401953257367596
LG_2	65670367	65678072	0.007045379980026175
LG_N	28863074	28869094	0.04920818903970359
LG_2	65736318	65742657	0.02047538220881835
LG_2	65748100	65760038	0.12971272613652277
LG_2	65783706	65793611	0.005525297067703914
LG_2	65820560	65826952	0.008893384838087649
LG_2	65830085	65836018	0.03666799615281574
LG_2	65868031	65875974	0.009443184638264362
LG_2	65888858	65894956	0.004099166656967538
LG_2	65902549	65910251	0.003976901263161111
LG_2	65911928	65916036	0.031029213044387865
LG_2	65948416	65953618	0.08092104577972051
LG_N	28881316	28886141	0.05738581369556874
LG_N	2766690	2772297	0.021498506355158403
LG_2	65964188	65971880	0.0060271732761354125
LG_2	65989377	65992080	0.006583411654454584
LG_2	65997146	66002193	0.022688448461107014
LG_2	66002495	66008714	0.028032178382825495
LG_2	66022529	66029596	0.012862445619217965
LG_2	66060720	66065072	0.020101911265146606
LG_2	66096127	66103741	0.016731355190595924
LG_2	66110874	66121484	0.0369422868245469
LG_2	66122718	66132592	0.03454325401440356
LG_2	66158065	66163390	0.014855930076082201
LG_N	28888199	28890371	0.00915352644868535
LG_2	66163923	66171720	0.013090429168734602
LG_2	66174649	66179808	0.07984271628793257
LG_2	66181572	66184133	0.036813070894795005
LG_2	66189988	66194605	0.005618036633462921
LG_2	66206018	66207307	0.07998702751039954
LG_2	66207961	66212843	0.0027081976662062524
LG_2	66230663	66237191	0
LG_2	66312984	66313480	0.09017503929645299
LG_2	66315404	66316402	0.03822749631556556
LG_2	66330847	66331373	0.09582194058015973
LG_N	28938012	28939049	0.05463585443605489
LG_2	66332947	66339761	0.03426895615944533
LG_2	66353024	66354632	0.10816073620260554
LG_2	66384972	66393265	0.04168367898024741
LG_2	66398903	66400650	0.03497843791755419
LG_2	66410638	66415446	0.024864935694183014
LG_2	66417510	66424800	0.012975452438221144
LG_2	66439824	66444216	0.05311441310884508
LG_2	66449032	66456503	0.012200979371381392
LG_2	66465451	66473938	0.051519476624593843
LG_2	66489146	66495431	0.011173955384042542
LG_N	28986662	28994398	0.003943811464013384
LG_2	66507354	66514532	0.009569670105348697
LG_2	66527349	66537639	0.017868852472046153
LG_2	66543262	66543873	0.10461817685650014
LG_2	66585997	66587861	0.1383095924378695
LG_2	66608735	66617232	0.0023249824870551
LG_2	66635026	66642721	0.00907269128162139
LG_2	66646438	66666594	0.05966724761193894
LG_2	66667761	66674030	0.03935858027375404
LG_2	66714335	66727461	0.03895309315735535
LG_2	66727622	66735270	0
LG_N	29000107	29004501	0.030310283231436655
LG_2	66752106	66770520	0.06854838834087122
LG_2	66787121	66790781	0.10149352467170125
LG_2	66800639	66804574	0.012635253583151037
LG_2	66835401	66846464	0.0011560698791897512
LG_2	66847791	66860509	0.06377039534543842
LG_2	66872727	66881533	0.007021731098327789
LG_2	66895930	66903902	0.03915139217185676
LG_2	66909577	66920668	0.013893964218549599
LG_2	66935770	66946473	0.039515895413906404
LG_2	66991335	67002429	0.013668794343869852
LG_N	29060939	29065874	0
LG_2	67017841	67024645	0.06773176439695765
LG_2	67038670	67047114	0.01825963749467409
LG_2	67093632	67100228	0.012390014499243483
LG_2	67150046	67163672	0.012565909622308533
LG_2	67170547	67178221	0.006043123120707587
LG_2	67186399	67193733	0.02592201121648715
LG_2	67229048	67236727	0.009009992851309831
LG_2	67265022	67277534	0.04302946905421867
LG_2	67309760	67321390	0.022930758691523927
LG_2	67322319	67330144	0.022150351887326777
LG_N	29103675	29104560	0.07138282337814676
LG_2	67353132	67361783	0.008089155198237642
LG_2	67373682	67378130	0.0040699704236580245
LG_2	67384654	67385744	0.07819283825906174
LG_2	67413561	67424687	0.027657028200616027
LG_2	67439652	67460016	0.05225548225935386
LG_2	67493345	67501053	0.013014423203401924
LG_2	67516397	67533556	0.02101829473212747
LG_2	67537754	67547561	0.059398500845575755
LG_2	67595193	67602866	0.0060492158804128894
LG_2	67620399	67628971	0.05335014843634024
LG_N	29106594	29110992	0.015468362398107212
LG_2	67629173	67636830	0.005083128851461595
LG_2	67638745	67646579	0.03808269712596277
LG_2	67652365	67659509	0.028346448744663223
LG_2	67687934	67692431	0.00709920462215996
LG_2	67813789	67815258	0.07412218438500628
LG_2	67826600	67832514	0.04008934301731738
LG_2	67854167	67859523	0
LG_2	67890151	67897599	0.06641619131203463
LG_2	67915466	67922696	0.010159506314072224
LG_2	67942158	67949880	0.00903030656928767
LG_N	29129805	29137467	0.0020128332152150696
LG_2	68006049	68012341	0.017577927121250413
LG_2	68018242	68025715	0.04208354312090433
LG_2	68030250	68034295	0.03820525599317969
LG_2	68059860	68073970	0.04112484861977011
LG_2	68085968	68086489	0.049266784965185814
LG_2	68126427	68138782	0.016397331729694303
LG_2	68149169	68156162	0.03756931860139336
LG_2	68160899	68171794	0.061383936078182495
LG_2	68201140	68208813	0.005041121807564342
LG_2	68215306	68215911	0.0038168124275355475
LG_N	29159333	29166815	0.02671748790257255
LG_2	68217157	68218722	0.02085131874997402
LG_2	68230384	68238412	0.056145803622910676
LG_2	68255041	68260688	0.03381384524801076
LG_2	68352156	68363350	0.03830502761803047
LG_2	68372914	68377382	0.0052540545805548015
LG_2	68391079	68398271	0.016735898815940394
LG_2	68400843	68409829	0.050928632877342284
LG_2	68416629	68417029	0.05707341634340161
LG_2	68427008	68434326	0.05966425073294968
LG_2	68449309	68464075	0.016759756849282464
LG_N	29178543	29179693	0.0755977614990891
LG_N	2820285	2824165	0.004962819899984965
LG_2	68467232	68471736	0.01514408451894718
LG_2	68475027	68485929	0.004644429547172226
LG_2	68517636	68520431	0.033255656077837134
LG_2	68538447	68549495	0.010535831283496415
LG_2	68567764	68578374	0.031219692545180845
LG_2	68611911	68616289	0.007353728547996958
LG_2	68623928	68631954	0.03505291404111458
LG_2	68669057	68680107	0.004652204134767264
LG_2	68685337	68690218	0.03096898325229783
LG_2	68693759	68700284	0.0705915898445343
LG_N	29187946	29188499	0.06932947476158759
LG_2	68773061	68774012	0.01930160891859806
LG_2	68774581	68775124	0.009662136413201407
LG_2	68787083	68791174	0.01919118489356459
LG_2	68823184	68830490	0.0040806034563559464
LG_2	68849072	68856715	0.005093746603115784
LG_2	68867585	68874602	0.11579242998931988
LG_2	68875816	68884052	0.009377124812160133
LG_2	68905406	68908198	0.0637937701772253
LG_2	68918023	68922100	0.025753798885749902
LG_2	68926420	68927166	0.09298331250122714
LG_N	29189988	29190668	0.053921300261068825
LG_2	68935317	68940518	0.029014104144569817
LG_2	68953472	68959038	0.04500501271726728
LG_2	68974394	68982972	0.006049187689548991
LG_2	69012296	69014966	0.0063208694280988
LG_2	69016881	69024216	0.06237965043129096
LG_2	69066038	69076795	0.02176005976066911
LG_2	69093398	69100399	0.02515270155039051
LG_2	69103020	69114157	0.00432316990093251
LG_2	69125354	69133140	0.02888140258532114
LG_2	69133583	69143925	0.006989014070667561
LG_N	29237273	29244324	0
LG_2	69146442	69152537	0.00298285482759657
LG_2	69158788	69168317	0.017917893215275933
LG_2	69172540	69183613	0.025276122151185746
LG_2	69186635	69193000	0.010709185720986206
LG_2	69199396	69203167	0.03461765229338003
LG_2	69236002	69245660	0.019991294104042847
LG_2	69260012	69267721	0.016829611615517028
LG_2	69279141	69289915	0.03337979542968369
LG_2	69303611	69310913	0.05475871755105714
LG_2	69348418	69356395	0.02390963294653394
LG_N	29245672	29250252	0.00892880870000323
LG_2	69393261	69400582	0.009084934492117487
LG_2	69401786	69409000	0.028881723547695363
LG_2	69428117	69437362	0.05947110266132829
LG_2	69448704	69453581	0.014911783446657964
LG_2	69458861	69467489	0.07187318473995964
LG_2	69470777	69478267	0.12319160416149127
LG_2	69522237	69531086	0.11994415029359062
LG_2	69536519	69547612	0.023842541027076117
LG_2	69552144	69556899	0.0767119069683144
LG_2	69592989	69595989	0.008150883443559962
LG_N	29270506	29276957	0.019452551746220677
LG_2	69622459	69627043	0.018747048684426875
LG_2	69639099	69647514	0.06043411537239935
LG_2	69651454	69657177	0.06072623418879186
LG_2	69668211	69675825	0
LG_2	69681473	69688146	0.04582607227476822
LG_2	69711176	69722105	0.06028758305663838
LG_2	69750937	69758281	0.016494997433186182
LG_2	69767190	69771080	0.05058304463948788
LG_2	69775938	69782232	0.06309536922127343
LG_2	69788555	69795870	0.0410664049759582
LG_N	29277322	29287951	0.036853423139355336
LG_2	69811745	69819363	0.006250036169358183
LG_2	69837438	69852414	0.005105193978823741
LG_2	69858069	69863040	0.033722710981613196
LG_2	69864854	69871785	0.034524435853238236
LG_2	69881524	69886651	0
LG_2	69891233	69910680	0.039802279712866664
LG_2	69920213	69926920	0.01918414893052137
LG_2	69945744	69949420	0.042122751544957114
LG_2	69956355	69964027	0.00606372068414496
LG_2	70004645	70008849	0.04600765684784331
LG_N	29295478	29301658	0.06364079891013112
LG_2	70011661	70015730	0.04106418813793211
LG_2	70020145	70020718	0.06052996146905525
LG_2	70021920	70022809	0.04154262317762648
LG_2	70024738	70031910	0.006061409969419106
LG_2	70040276	70047213	0.010120356743613605
LG_2	70050723	70070629	0.0013222620747002007
LG_2	70140263	70144723	0.0010403123986630982
LG_2	70146202	70153458	0.044253420835159124
LG_2	70170758	70172191	0.04165521294583053
LG_2	70173313	70174481	0.03895920453703607
LG_N	29331765	29339459	0.000995025204005018
LG_2	70190948	70198267	0.004019101927018044
LG_2	70208473	70216166	0.03999045161798745
LG_2	70219210	70226895	0.004028975712949066
LG_2	70249659	70257402	0.027555020510476185
LG_2	70280132	70281301	0.0924980350399272
LG_2	70293254	70298183	0.022133219499208046
LG_2	70298427	70303085	0
LG_2	70332449	70340107	0.008153762862502818
LG_2	70344383	70345462	0.10893564556744835
LG_2	70356141	70367143	0.010648019975693297
LG_N	29348983	29352511	0.056326479399134995
LG_2	70372403	70381622	0.011064375490198267
LG_2	70392990	70397600	0.036484127691643976
LG_2	70428827	70442698	0.03967670154194252
LG_2	70443888	70451565	0.006049187689548991
LG_2	70501982	70523143	0.0009507965247614114
LG_2	70530664	70531126	0.08227719105539945
LG_2	70534940	70540721	0.06969993763710594
LG_2	70559264	70560992	0.08609876080920185
LG_2	70611468	70622576	0.011387174519798034
LG_2	70628822	70636178	0.012854963823413832
LG_N	29400032	29406565	0.04318825495092026
LG_N	2844082	2848727	0.06275036595826493
LG_2	70645159	70652920	0.03675669551841696
LG_2	70657065	70667450	0.04344297289930465
LG_2	70686793	70693874	0.008028188005146247
LG_2	70708087	70710311	0.012531984331608138
LG_2	70727297	70729164	0.04340297408631734
LG_2	70751431	70758671	0.013840268842594821
LG_2	70770958	70778381	0.02473214535288466
LG_2	70783041	70783923	0.07142232443208989
LG_2	70786666	70793586	0.05455166229114696
LG_2	70815354	70823154	0.023836343004934778
LG_N	29466248	29474570	0.01148831157937728
LG_2	70852705	70858950	0.0038560602431694595
LG_2	70870624	70885260	0.0048971029520902785
LG_2	70905028	70916416	0.02246969298786013
LG_2	70950593	70956223	0.03302956480210355
LG_2	70962907	70973991	0.013687356405775657
LG_2	70990255	70998620	0.014936779719229317
LG_2	71003994	71018804	0.001975036836931548
LG_2	71045484	71053883	0.04319312727979527
LG_2	71071859	71088372	0.014674864095331839
LG_2	71111604	71120983	0.04735714489394415
LG_N	29504862	29511744	0.030985111505165683
LG_2	71136489	71145308	0.0163713784496673
LG_2	71155933	71163275	0.055138205848092564
LG_2	71166754	71173904	0.031302473478958585
LG_2	71186860	71192081	0.024808850546208728
LG_2	71207955	71219017	0.004609316921001252
LG_2	71220036	71230462	0.05080275992541495
LG_2	71244406	71250617	0.00478960471483773
LG_2	71258898	71276979	0.06178016128881801
LG_2	71307969	71323901	0.009982333967959991
LG_2	71329685	71336605	0.02402727618622348
LG_N	29511751	29513292	0.031792939093467164
LG_2	71364999	71372657	0.008137175473696209
LG_2	71406518	71415450	0.022519679801095198
LG_2	71425654	71435281	0.061729547538966936
LG_2	71437583	71443271	0.004629662706398356
LG_2	71450635	71453516	0.0366759488611419
LG_2	71466825	71472514	0.04732565712420082
LG_2	71481050	71481526	0.0765078027799943
LG_2	71487647	71492390	0.006884770176965017
LG_2	71499674	71501219	0.03593587106127003
LG_2	71507850	71515311	0.03283710409553181
LG_N	29544024	29553917	0.03370953934151066
LG_2	71537354	71550294	0.08456595080611208
LG_2	71555672	71563341	0.019397852570960796
LG_2	71591134	71613533	0.007151647033296042
LG_2	71622783	71627666	0.017272574065018854
LG_2	71632496	71633080	0.0798993909883302
LG_2	71658107	71658756	0.07506259391773698
LG_2	71681983	71689636	0.009460235518113867
LG_2	71710274	71711810	0.03493750730922329
LG_2	71718291	71724023	0.04135595310441843
LG_2	71728078	71732613	0.007059590874041191
LG_N	29571859	29579372	0.04620572797333874
LG_2	71772924	71783971	0.0023158220962060144
LG_2	71786646	71794317	0.01328535807554938
LG_2	71797639	71805358	0.011826070157247286
LG_2	71812503	71821371	0.0023175012520742595
LG_2	71898735	71917586	0.02411637318063432
LG_2	71938937	71945277	0.005038317493296602
LG_2	71950860	71958214	0.028649624674404284
LG_2	71998762	71999891	0.0621293106911212
LG_2	72015782	72026675	0.004641407684071423
LG_2	72123746	72136037	0.04775420614066029
LG_N	29613256	29620928	0.03946336376658029
LG_2	72160577	72165554	0.024749730355597473
LG_2	72171374	72179028	0.010232276608150532
LG_2	72179649	72187905	0.010501921882540437
LG_2	72192684	72200342	0.005077966439602883
LG_2	72217449	72222240	0.01666357255788592
LG_2	72224678	72231482	0.03677146107231834
LG_2	72244728	72245338	0.024051358151739838
LG_2	72258117	72279734	0.008426773860903203
LG_2	72282003	72286204	0.009301647127909306
LG_2	72294706	72297849	0.02198156171055803
LG_N	29644709	29646523	0.09182161140033429
LG_2	72307371	72307976	0.013889285825428097
LG_2	72329635	72335908	0.005899760744814836
LG_2	72377185	72384881	0.0019927775569930973
LG_2	72428703	72434320	0.0038598235462189265
LG_2	72439207	72446085	0.009701159173259978
LG_2	72463926	72464692	0.10306576092029907
LG_2	72492596	72500537	0.014341247584077097
LG_2	72500736	72507730	0.013905612316062901
LG_2	72537952	72540566	0.005181367757858668
LG_2	72560993	72568534	0.014449019949208039
LG_N	29656689	29658013	0.05345739366522026
LG_2	72572524	72579432	0.024204171164254128
LG_2	72614515	72621618	0.006389863323199441
LG_2	72621761	72629484	0.02448324518256041
LG_2	72656323	72663495	0.01586272346452005
LG_2	72682601	72697725	0.04477063062772297
LG_2	72740756	72748477	0.04599295365509673
LG_2	72753966	72758172	0.012384385261354798
LG_2	72771557	72781408	0.025014252065925408
LG_2	72808179	72809501	0.014589176522858568
LG_2	72811202	72828154	0.033125942532353445
LG_N	29672200	29672819	0.07946364913124743
LG_2	72856110	72863785	0.007117012402620489
LG_2	72877466	72890163	0.015499626067983501
LG_2	72894598	72908797	0.030059597656055318
LG_2	72956087	72959953	0.012669557308929075
LG_2	72963656	72964642	0.06670262449167408
LG_2	72988945	72994128	0.0037407030004711693
LG_2	73001289	73008955	0.011114578431511793
LG_2	73034173	73039334	0.0029739864630386544
LG_2	73097843	73113101	0.06973594612860815
LG_2	73125063	73136475	0.005629375629558626
LG_N	29673858	29674361	0.057071328530013565
LG_N	2890533	2891025	0.049874645536901706
LG_2	73142724	73145181	0.004677954410291783
LG_2	73145334	73145880	0.004739371977271885
LG_2	73155801	73161743	0.0346741936088537
LG_2	73166524	73173066	0.01915943215106833
LG_2	73184999	73197379	0.03753478397991262
LG_2	73204453	73210129	0.03066809528958032
LG_2	73211971	73217640	0.004494412284216609
LG_2	73254350	73260044	0.016161185376972732
LG_2	73275608	73282723	0.030242922212123748
LG_2	73292977	73295574	0.04204767996518133
LG_N	29674572	29675059	0.048286179112845815
LG_2	73304497	73312148	0.0805154417974457
LG_2	73319983	73320537	0.09382111247875992
LG_2	73332154	73332898	0.08999027955840928
LG_2	73366762	73367230	0.0077520932679825995
LG_2	73367696	73373300	0.015337658971852998
LG_2	73401160	73404222	0.03750647698413914
LG_2	73404616	73416379	0.03520383506430685
LG_2	73421441	73426109	0.006932499462453677
LG_2	73452673	73460102	0.004873017549319614
LG_2	73515450	73522782	0.03793317606470452
LG_N	29732528	29740194	0.0031217526860155657
LG_2	73525822	73530988	0.007494630616843805
LG_2	73546737	73554138	0.0895042732354143
LG_2	73555137	73562483	0.005911360651690034
LG_2	73572344	73582973	0.033824937772568675
LG_2	73589932	73598433	0.018566565212461562
LG_2	73608110	73617438	0.009317439805289715
LG_2	73642101	73650366	0.001267026208393476
LG_2	73667032	73679542	0.0880405213548429
LG_2	73689836	73697049	0.022766680793698656
LG_2	73698682	73717053	0.03444737147470154
LG_N	29749114	29756692	0.040500584910436836
LG_2	73746778	73754436	0.0010047729450087654
LG_2	73776271	73781245	0.05799270084573734
LG_2	73791222	73797350	0.07081644851837514
LG_2	73809781	73816602	0.012862445619217965
LG_2	73847367	73861320	0.004782880890010581
LG_2	73872935	73882047	0.02534395851741071
LG_2	73911388	73914661	0.004007023416659476
LG_2	73956046	73960955	0.003018874359311175
LG_2	73978304	73978727	0.09444099038128381
LG_2	73997025	74008121	0.019492818569163912
LG_N	29765749	29766189	0.03969448178327033
LG_2	74015573	74027445	0.015238160177633204
LG_2	74031163	74043599	0.007242994705163315
LG_2	74050677	74058468	0.01720046048773492
LG_2	74062776	74069166	0.022104899248781257
LG_2	74072821	74089449	0.011811770804327772
LG_2	74113691	74115032	0.028767306497989194
LG_2	74124758	74132575	0.01156932118586564
LG_2	74190939	74195807	0.03715781152174192
LG_2	74209809	74210820	0.05854768799307809
LG_2	74211852	74214004	0.04586665249010209
LG_N	29781562	29781951	0.08217342990658304
LG_2	74236716	74246867	0.0076575776643824645
LG_2	74260540	74267737	0.019741919894254317
LG_2	74271936	74290889	0.10509586228054163
LG_2	74299366	74310457	0.04882779469805173
LG_2	74316514	74324055	0.04021828594881045
LG_2	74382987	74390679	0.00805146753913548
LG_2	74400394	74400984	0.08630548433730614
LG_2	74401176	74401706	0.10428560722410596
LG_2	74410537	74417834	0.0071273405603941705
LG_2	74420565	74427925	0.04276739109706608
LG_N	29795637	29798315	0.06282433083939021
LG_2	74445682	74456722	0
LG_2	74471170	74478665	0.0882176850902203
LG_2	74492146	74494887	0.05306288542904185
LG_2	74497683	74508742	0.0011544015712190018
LG_2	74523266	74530922	0.0010060365567101156
LG_2	74532728	74543497	0.03317841982947895
LG_2	74561864	74572903	0.006727452894861781
LG_2	74588462	74588921	0.040913033962295155
LG_2	74593401	74604435	0.01053985723854728
LG_2	74628475	74636396	0.07412659804280805
LG_N	29802511	29806981	0
LG_2	74637224	74642219	0.01039740484840045
LG_2	74686003	74688889	0.01130767109035974
LG_2	74704815	74716654	0.007472229784721637
LG_2	74723229	74732429	0.0968567763565487
LG_2	74736096	74743729	0.06057898396106932
LG_2	74749451	74753935	0.06363231674909305
LG_2	74755507	74766628	0.048858803577630304
LG_2	74769019	74771985	0.0254978409718555
